ID,作物名称,种质名称,株高cm,样品植株重量(鲜重克),样品植株重量(干重克),样品根重量(鲜重克),样品根重量(干重克),提根性kg,三个重复的平均出苗率%,单株结薯(个),平均单薯重g,大中薯率%,小薯率（％）,晚疫病(第一测),晚疫病(第二测),晚疫病(第三测),晚疫病(第四测),折合单产(㎏/667㎡),较对照增产%,  抗旱位次
YAAS1330,马铃薯,洋芋（宁蒗182）,115.6,541,102,82,17,29.7,78,19.7,84.1,67.5,32.5,1,1,1,3,760,16.9,3
YAAS1351,马铃薯,马尔科洋芋,120.1,569,109,84,18,28.9,69.7,14.8,79.6,60.3,39.7,1,1,3,3,990,52.3,1
YAAS1355,马铃薯,永德紫皮洋芋,119.8,523,112,76,18,31.2,71.2,16.9,82.3,59.8,40.2,1,3,4,5,930,43.1,2
YAAS1391,马铃薯,05-295,87.6,498,74,32,16,28.6,73.15,8.37,51.2,42.16,57.84,1,1,3,4,1339.89,14.05,8
YAAS1396,马铃薯,05-230,101,412,79,62,16,16.9,47.9,9.1,69.4,42.1,57.9,1,2,3,3,1467.6,24.92,5
YAAS1397,马铃薯,05-191,105.6,542,88,54,18,29.48,48.15,10.42,80.2,59.12,40.88,1,1,1,3,2520.9,114.58,2
YAAS1399,马铃薯,P02-77-10,113.5,386,68,40,18,27.4,70.99,10.02,61.2,39.29,60.71,1,1,1,3,1609.7,37.02,3
YAAS1400,马铃薯,宣薯5号,71.3,588,96,74,24,34.6,76.85,13.12,65.3,51.19,48.81,1,1,2,2,2600.2,121.33,1
YAAS1402,马铃薯,05-188,95.4,312,58,40,18,23.12,51.54,7.57,67.5,44.38,55.62,1,1,3,4,617.53,,10
YAAS1405,马铃薯,05-363,96.9,354,70,28,16,14.2,65.43,8.12,53.8,33.16,66.84,1,1,3,4,1528.9,30.14,4
YAAS1407,马铃薯,宣薯2号,75.4,334,60,36,16,20.68,9.88,6.8,80.3,42.13,57.87,3,5,6,7,1359.6,15.73,7
YAAS1411,马铃薯,S03-3276,95.8,376,83,71,17,27.3,43.9,11.2,71,37.6,62.4,1,1,3,4,1226.6,4.41,9
YAAS1412,马铃薯,05-287,91.4,526,96,34,14,18.8,42.9,6.82,69.3,50.02,49.98,1,1,3,4,1432,21.9,6
YAAS1414,马铃薯,宣薯4号 CK,89.1,746,100,64,24,25.79,57.72,8.34,85.2,60.37,39.63,1,2,4,4,1174.8,,弱
,,PI34 CK,98.3,401,99,75,18,21.8,50.1,13.5,68.3,59,41,1,4,4,7,650,,弱